MOVIES,YEAR,GENRE,RATING,VOTES,RunTime
Below Deck Mediterranean,(2016â€“ ),"
Reality-TV            ",7.3,"1,327",43
Pirates of the Caribbean: Dead Men Tell No Tales,-2017,"
Action, Adventure, Fantasy            ",6.5,"276,173",129
Sense8,(2015â€“2018),"
Drama, Mystery, Sci-Fi            ",8.3,"144,032",60
How to Become a Tyrant,(2021â€“ ),"
Documentary, Biography, History            ",7.4,"3,700",
Dead to Me,(2019â€“ ),"
Comedy, Crime, Drama            ",8,"61,944",30
Narcos: MÃ©xico,(2018â€“ ),"
Crime, Drama            ",8.4,"64,838",50
2001: A Space Odyssey,-1968,"
Adventure, Sci-Fi            ",8.3,"622,998",149
Adventure Time,(2010â€“2018),"
Animation, Action, Adventure            ",8.6,"81,525",11
Nanatsu no taizai,(2014â€“2021),"
Animation, Action, Adventure            ",8,"26,282",24
My Unorthodox Life,(2021â€“ ),"
Reality-TV            ",5.1,742,
Slasher,(2016â€“ ),"
Crime, Drama, Horror            ",6.7,"12,031",60
Anne,(2017â€“2019),"
Drama, Family            ",8.7,"43,433",60
The Tudors,(2007â€“2010),"
Drama, History, Romance            ",8.1,"70,514",60
Batman v Superman: Dawn of Justice,-2016,"
Action, Adventure, Sci-Fi            ",6.4,"657,423",152
Pose,(2018â€“2021),"
Drama            ",8.6,"23,179",60
Cider no yÃ´ ni kotoba ga wakiagaru,-2020,"
Animation, Drama, Romance            ",7,941,87
News of the World,-2020,"
Action, Adventure, Drama            ",6.8,"69,037",118
Mother!,-2017,"
Drama, Horror, Mystery            ",6.6,"201,141",121
Emily in Paris,(2020â€“ ),"
Comedy, Drama, Romance            ",7,"55,757",30
National Lampoon's Animal House,-1978,"
Comedy            ",7.5,"115,289",109
The Affair,(2014â€“2019),"
Drama            ",7.9,"42,129",60
Honest Thief,-2020,"
Action, Crime, Drama            ",6,"40,186",99
The End of the F***ing World,(2017â€“2019),"
Adventure, Comedy, Crime            ",8.1,"157,802",25
Midnight in Paris,-2011,"
Comedy, Fantasy, Romance            ",7.7,"399,157",94
Lost in Space,(2018â€“ ),"
Adventure, Drama, Family            ",7.3,"76,255",60
Wentworth,(2013â€“2021),"
Crime, Drama            ",8.6,"18,080",45
After Life,(2019â€“ ),"
Comedy, Drama            ",8.4,"91,972",30
The Fresh Prince of Bel-Air,(1990â€“1996),"
Comedy            ",7.9,"125,167",22
Kill Bill: Vol. 2,-2004,"
Action, Crime, Thriller            ",8,"706,053",137
Bates Motel,(2013â€“2017),"
Drama, Horror, Mystery            ",8.1,"100,394",45
Moneyball,-2011,"
Biography, Drama, Sport            ",7.6,"386,263",133
Behind Her Eyes,-2021,"
Drama, Mystery, Thriller            ",7.2,"47,174",298
Biohackers,(2020â€“ ),"
Drama, Sci-Fi, Thriller            ",6.8,"7,563",44
Extraction,-2020,"
Action, Thriller            ",6.7,"174,406",116
The IT Crowd,(2006â€“2013),"
Comedy            ",8.5,"138,970",25
Californication,(2007â€“2014),"
Comedy, Drama            ",8.3,"174,076",28
Beastars,(2019â€“ ),"
Animation, Crime, Drama            ",7.8,"7,429",23
3rd Rock from the Sun,(1996â€“2001),"
Comedy, Family, Sci-Fi            ",7.7,"48,780",60
Big Mouth,(2017â€“ ),"
Animation, Comedy, Romance            ",7.9,"61,304",30
Snowpiercer,-2013,"
Action, Drama, Sci-Fi            ",7.1,"335,946",126
Locke & Key,(2020â€“ ),"
Drama, Fantasy, Horror            ",7.4,"47,717",48
300: Rise of an Empire,-2014,"
Action, Drama            ",6.2,"286,734",102
Kimi no na wa.,-2016,"
Animation, Drama, Fantasy            ",8.4,"217,433",106
Travelers,(2016â€“2018),"
Drama, Mystery, Sci-Fi            ",8.1,"49,197",45
Black Lightning,(2017â€“2021),"
Action, Drama, Sci-Fi            ",6.1,"23,354",43
Booksmart,-2019,"
Comedy            ",7.2,"103,143",102
The Water Man,(I) (2020),"
Adventure, Drama, Family            ",5.3,"1,978",91
Chesapeake Shores,(2016â€“ ),"
Drama, Family            ",7.5,"5,407",42
OxygÃ¨ne,-2021,"
Drama, Fantasy, Sci-Fi            ",6.5,"27,918",100
Jaws 2,-1978,"
Adventure, Horror, Thriller            ",5.8,"73,931",116
Enola Holmes,-2020,"
Action, Adventure, Crime            ",6.6,"145,206",123
RurÃ´ni Kenshin: Sai shÃ»shÃ´ - The Final,-2021,"
Action, Adventure, Drama            ",7.2,"4,682",138
Chilling Adventures of Sabrina,(2018â€“2020),"
Drama, Fantasy, Horror            ",7.5,"82,557",60
Marcella,(2016â€“ ),"
Crime, Drama, Mystery            ",7.4,"26,485",45
Tropic Thunder,-2008,"
Action, Comedy, War            ",7,"391,033",107
Freaks and Geeks,(1999â€“2000),"
Comedy, Drama            ",8.7,"133,607",44
iZombie,(2015â€“2019),"
Comedy, Crime, Drama            ",7.8,"62,258",42
Spirit Untamed,-2021,"
Animation, Adventure, Family            ",5.4,"1,741",88
Poldark,(2015â€“2019),"
Drama, History, Romance            ",8.3,"27,588",60
Beauty and the Beast,(I) (2017),"
Family, Fantasy, Musical            ",7.1,"284,484",129
Penny Dreadful,(2014â€“2016),"
Drama, Fantasy, Horror            ",8.2,"115,055",60
Unbelievable,-2019,"
Crime, Drama            ",8.4,"81,658",385
Fate: The Winx Saga,(2021â€“ ),"
Action, Adventure, Drama            ",6.9,"30,827",
Feel Good,(2020â€“2021),"
Comedy, Drama, Romance            ",7.5,"7,949",30
Bodyguard,-2018,"
Crime, Drama, Thriller            ",8.1,"103,187",60
The Legend of Korra,(2012â€“2014),"
Animation, Action, Adventure            ",8.4,"109,581",23
Bird Box,-2018,"
Horror, Sci-Fi            ",6.6,"297,927",124
She-Ra and the Princesses of Power,(2018â€“2020),"
Animation, Action, Adventure            ",7.9,"11,967",30
Scorpion,(2014â€“2018),"
Action, Crime, Drama            ",7.1,"48,387",43
Derry Girls,(2018â€“ ),"
Comedy            ",8.4,"24,293",30
Hell or High Water,(II) (2016),"
Action, Crime, Drama            ",7.6,"211,816",102
The Babysitter,(I) (2017),"
Comedy, Horror            ",6.3,"79,593",85
Marriage Story,-2019,"
Comedy, Drama, Romance            ",7.9,"266,307",137
Ratched,(2020â€“ ),"
Crime, Drama, Mystery            ",7.3,"44,914",
Annihilation,-2018,"
Adventure, Drama, Horror            ",6.8,"293,459",115
Fractured,(I) (2019),"
Mystery, Thriller            ",6.4,"62,113",99
El Camino: A Breaking Bad Movie,-2019,"
Action, Crime, Drama            ",7.3,"200,029",122
Godless,-2017,"
Drama, Western            ",8.3,"56,997",452
Haikyuu!!,(2014â€“2020),"
Animation, Comedy, Drama            ",8.7,"15,250",24
Wind River,-2017,"
Crime, Drama, Mystery            ",7.7,"218,337",107
Dirilis: Ertugrul,(2014â€“2019),"
Action, Adventure, Drama            ",8,"31,182",120
Frozen,(I) (2013),"
Animation, Adventure, Comedy            ",7.4,"586,769",102
The Haunting of Bly Manor,-2020,"
Drama, Horror, Mystery            ",7.4,"77,872",494
Charlie's Angels,-2019,"
Action, Adventure, Comedy            ",4.8,"62,393",118
Love,(2016â€“2018),"
Comedy, Drama, Romance            ",7.7,"39,010",50
Spenser Confidential,-2020,"
Action, Comedy, Crime            ",6.2,"77,727",111
Centaurworld,(2021â€“ ),"
Animation, Adventure, Comedy            ",7.5,207,25
Lo imposible,-2012,"
Drama, History, Thriller            ",7.6,"208,903",114
Shadowhunters: The Mortal Instruments,(2016â€“2019),"
Action, Drama, Fantasy            ",6.6,"56,183",42
The Ranch,(2016â€“2020),"
Comedy, Drama, Western            ",7.5,"35,091",30
Shooter,(2016â€“2018),"
Action, Drama            ",7.5,"33,000",60
Zoo,(2015â€“2017),"
Drama, Mystery, Sci-Fi            ",6.7,"23,095",42
The Trial of the Chicago 7,-2020,"
Drama, History, Thriller            ",7.8,"153,211",129
Comment je suis devenu super-hÃ©ros,-2020,"
Action, Adventure, Comedy            ",5.8,"3,214",97
Stowaway,-2021,"
Drama, Sci-Fi, Thriller            ",5.6,"36,937",116
The Nice Guys,-2016,"
Action, Comedy, Crime            ",7.4,"295,435",116
The Snowman,-2017,"
Crime, Drama, Thriller            ",5.1,"60,354",119
Moonrise Kingdom,-2012,"
Comedy, Drama, Romance            ",7.8,"328,550",94
Contagion,-2011,"
Drama, Thriller            ",6.7,"290,444",106
Nashville,(2012â€“2018),"
Drama, Music, Romance            ",7.7,"23,735",43
This Is England,-2006,"
Crime, Drama            ",7.7,"117,889",101
El hoyo,-2019,"
Horror, Sci-Fi, Thriller            ",7,"183,495",94
Scream,(2015â€“2019),"
Comedy, Crime, Drama            ",7.1,"35,660",45
Halston,-2021,"
Biography, Drama            ",7.5,"10,460",240
Castle Rock,(2018â€“2019),"
Drama, Fantasy, Horror            ",7.6,"40,731",60
Misfits,(2009â€“2013),"
Comedy, Drama, Fantasy            ",8.2,"95,735",60
Medici,(2016â€“2019),"
Biography, Drama, History            ",7.9,"16,659",60
I'm Thinking of Ending Things,-2020,"
Drama, Thriller            ",6.6,"71,640",134
Willy Wonka & the Chocolate Factory,-1971,"
Family, Fantasy, Musical            ",7.8,"186,202",100
Fantasy Island,-2020,"
Action, Adventure, Fantasy            ",4.9,"41,744",109
Doc Martin,(2004â€“ ),"
Comedy, Drama, Romance            ",8.3,"13,580",46
Homefront,(I) (2013),"
Action, Crime, Thriller            ",6.5,"113,476",100
The Power of the Dog,-2021,"
Drama, Romance, Western            ",,,125
Dead Poets Society,-1989,"
Comedy, Drama            ",8.1,"443,357",128
Contratiempo,-2016,"
Crime, Drama, Mystery            ",8.1,"157,061",106
There's Something About Mary,-1998,"
Comedy, Romance            ",7.1,"298,729",119
Trailer Park Boys,(2001â€“2018),"
Comedy, Crime            ",8.5,"38,861",30
Binsenjo,(2021â€“ ),"
Comedy, Crime, Romance            ",8.5,"7,888",80
Full House,(1987â€“1995),"
Comedy, Drama, Family            ",6.7,"54,419",22
The OA,(2016â€“2019),"
Drama, Fantasy, Mystery            ",7.8,"94,862",60
Lucy,(I) (2014),"
Action, Sci-Fi, Thriller            ",6.4,"462,122",89
Will & Grace,(1998â€“2020),"
Comedy, Romance            ",7.2,"52,269",22
Luke Cage,(2016â€“2018),"
Action, Crime, Drama            ",7.3,"120,187",55
GLOW,(2017â€“2019),"
Comedy, Drama, Sport            ",8,"42,221",35
Wet Hot American Summer: Ten Years Later,-2017,"
Comedy            ",6.9,"7,784",216
The Mummy,-2017,"
Action, Adventure, Fantasy            ",5.4,"177,592",110
When They See Us,-2019,"
Biography, Crime, Drama            ",8.9,"102,201",296
22-Jul,-2018,"
Crime, Drama, History            ",6.8,"30,905",143
When Calls the Heart,(2014â€“ ),"
Drama, Family, Romance            ",8.1,"11,306",43
A Series of Unfortunate Events,(2017â€“2019),"
Adventure, Comedy, Drama            ",7.8,"55,753",50
Birdman or (The Unexpected Virtue of Ignorance),-2014,"
Comedy, Drama            ",7.7,"595,946",119
RuPaul's Drag Race All Stars,(2012â€“ ),"
Game-Show, Reality-TV            ",8.5,"6,644",60
Sophie: A Murder in West Cork,-2021,"
Documentary, Crime, History            ",6.9,"3,235",164
Knock Knock,(I) (2015),"
Drama, Thriller            ",4.9,"87,474",99
Madam Secretary,(2014â€“2019),"
Drama            ",7.6,"20,755",45
Hauru no ugoku shiro,-2004,"
Animation, Adventure, Family            ",8.2,"351,466",119
The Alienist,(2018â€“2020),"
Crime, Drama, Mystery            ",7.7,"48,646",60
Now You See Me,(I) (2013),"
Crime, Mystery, Thriller            ",7.2,"614,056",115
Hell's Kitchen,(2005â€“ ),"
Game-Show, Reality-TV            ",7.1,"19,419",42
The Ballad of Buster Scruggs,-2018,"
Comedy, Drama, Musical            ",7.3,"130,664",133
The Lost World: Jurassic Park,-1997,"
Action, Adventure, Sci-Fi            ",6.6,"390,425",129
The Politician,(2019â€“ ),"
Comedy, Drama            ",7.5,"19,735",42
Marco Polo,(2014â€“2016),"
Adventure, Drama, History            ",8,"67,083",60
Tattoo Redo,(2021â€“ ),"
Reality-TV            ",5.6,232,
Shameless,(2004â€“2013),"
Comedy, Crime, Drama            ",8,"15,630",90
Top Gear,(2002â€“ ),"
Adventure, Comedy, Reality-TV            ",8.6,"111,345",60
Vanquish,-2021,"
Action, Crime, Thriller            ",2.7,"3,010",94
Sweet Magnolias,(2020â€“ ),"
Drama, Romance            ",7.4,"10,096",
Geostorm,-2017,"
Action, Sci-Fi, Thriller            ",5.3,"99,724",109
The Bureau of Magical Things,(2018â€“ ),"
Family, Fantasy, Mystery            ",6.8,"1,349",25
Rojst,(2018â€“ ),"
Crime, Drama, Thriller            ",7,"3,471",50
Sausage Party,-2016,"
Animation, Adventure, Comedy            ",6.1,"181,775",89
A Futile and Stupid Gesture,-2018,"
Biography, Comedy            ",6.8,"14,676",101
Eurovision Song Contest: The Story of Fire Saga,-2020,"
Comedy, Music            ",6.5,"84,242",123
Russian Doll,(2019â€“ ),"
Adventure, Comedy, Drama            ",7.9,"72,588",30
Sa-rang-eui bul-sa-chak,(2019â€“2020),"
Adventure, Comedy, Romance            ",8.7,"16,879",70
The Next Three Days,-2010,"
Action, Crime, Drama            ",7.3,"189,815",133
Maniac,-2018,"
Comedy, Drama, Sci-Fi            ",7.8,"69,384",386
Moonlight,(I) (2016),"
Drama            ",7.4,"285,273",111
In the Heart of the Sea,-2015,"
Action, Adventure, Biography            ",6.9,"128,605",122
The Babysitter: Killer Queen,-2020,"
Comedy, Horror            ",5.8,"31,220",101
Final Space,(2018â€“ ),"
Animation, Action, Adventure            ",8.3,"36,443",30
Into the Badlands,(2015â€“2019),"
Action, Adventure, Drama            ",8,"43,147",42
Firefly Lane,(2021â€“ ),"
Drama, Romance            ",7.4,"16,674",
Manhunt,(II) (2017â€“ ),"
Biography, Crime, Drama            ",8.1,"54,164",60
Kingdom,(2014â€“2017),"
Drama            ",8.5,"16,565",43
Wet Hot American Summer: First Day of Camp,-2015,"
Comedy            ",7.4,"22,906",30
Rebecca,(I) (2020),"
Drama, Mystery, Romance            ",6,"35,836",123
Master of None,(2015â€“ ),"
Comedy, Drama            ",8.3,"70,472",30
The Stranger,(I) (2020),"
Crime, Drama, Mystery            ",7.3,"38,697",363
Contact,-1997,"
Drama, Mystery, Sci-Fi            ",7.5,"261,289",150
The Kissing Booth,-2018,"
Comedy, Romance            ",6,"72,207",105
Top Boy,(2011â€“ ),"
Crime, Drama, Thriller            ",8.4,"14,832",60
Climax,(I) (2018),"
Drama, Horror, Music            ",7,"58,051",97
Vivo,(I) (2021),"
Animation, Adventure, Comedy            ",7.3,27,95
Gods of Egypt,-2016,"
Action, Adventure, Fantasy            ",5.4,"109,959",127
Mank,-2020,"
Biography, Comedy, Drama            ",6.9,"63,893",131
Bleach: BurÃ®chi,(2004â€“2012),"
Animation, Action, Adventure            ",8.1,"46,537",24
Â¿QuiÃ©n MatÃ³ a Sara?,(2021â€“ ),"
Crime, Drama, Mystery            ",6.4,"10,387",
X-Ray: Selected Satyajit Shorts,(2021â€“ ),"
Crime, Drama, Thriller            ",7.2,"7,023",65
The Dirt,-2019,"
Biography, Comedy, Drama            ",7,"43,022",107
The Real Housewives of Beverly Hills,(2010â€“ ),"
Reality-TV            ",5.1,"5,326",44
Gerald's Game,-2017,"
Drama, Horror, Thriller            ",6.5,"95,660",103
Outlaw King,-2018,"
Action, Biography, Drama            ",6.9,"64,076",121
Another Life,(2019â€“ ),"
Adventure, Drama, Mystery            ",5,"25,983",43
Crazy Ex-Girlfriend,(2015â€“2019),"
Comedy, Musical            ",7.8,"17,902",42
Yakusoku no Neverland,(2019â€“2021),"
Animation, Adventure, Drama            ",8.5,"28,438",23
He's All That,-2021,"
Comedy, Romance            ",,,
High School DxD,(2012â€“2018),"
Animation, Action, Comedy            ",7.6,"8,085",23
Fuller House,(2016â€“2020),"
Comedy, Family            ",6.7,"25,578",30
Thunder Force,-2021,"
Action, Adventure, Comedy            ",4.4,"35,640",106
The Midnight Sky,-2020,"
Drama, Fantasy, Sci-Fi            ",5.6,"75,985",118
Breach,(IV) (2020),"
Action, Horror, Sci-Fi            ",3.1,"10,958",92
Rosemary's Baby,-1968,"
Drama, Horror            ",8,"201,472",137
Below Deck,(2013â€“ ),"
Reality-TV            ",7.3,"2,222",43
Kung Fu Panda 3,-2016,"
Animation, Action, Adventure            ",7.1,"141,657",95
Bright,(I) (2017),"
Action, Fantasy, Thriller            ",6.3,"175,334",117
H2O: Just Add Water,(2006â€“2010),"
Drama, Family, Fantasy            ",7.2,"13,458",23
Colony,(2016â€“2018),"
Action, Adventure, Drama            ",7.4,"32,620",42
Deep,-2021,"
Drama, Mystery, Sci-Fi            ",4.9,738,101
From Dusk Till Dawn: The Series,(2014â€“2016),"
Action, Crime, Fantasy            ",6.9,"19,559",45
Ender's Game,-2013,"
Action, Adventure, Fantasy            ",6.6,"228,812",114
KÃ´do giasu - Hangyaku no rurÃ»shu: Code Geass - Lelouch of the Rebellion,(2006â€“2012),"
Animation, Action, Drama            ",8.7,"55,979",24
Alice in Borderland,(2020â€“ ),"
Action, Fantasy, Mystery            ",7.7,"22,347",50
Planet of the Apes,-1968,"
Adventure, Sci-Fi            ",8,"170,681",112
Shot Caller,-2017,"
Crime, Drama, Thriller            ",7.3,"77,040",121
Ash vs Evil Dead,(2015â€“2018),"
Action, Comedy, Horror            ",8.4,"67,180",30
Pieces of a Woman,-2020,"
Drama            ",7.1,"41,856",126
Yes Day,-2021,"
Comedy, Family            ",5.7,"19,062",86
The Ritual,(I) (2017),"
Horror, Mystery, Thriller            ",6.3,"84,230",94
Force of Nature,-2020,"
Action, Crime, Drama            ",4.5,"9,016",91
Downsizing,-2017,"
Drama, Fantasy, Sci-Fi            ",5.7,"102,222",135
Fruits Basket,(2019â€“2021),"
Animation, Comedy, Drama            ",8.6,"3,549",24
Murder Mystery,-2019,"
Action, Comedy, Crime            ",6,"110,725",97
Poketto monsutÃ¢,(1997â€“ ),"
Animation, Action, Adventure            ",7.5,"39,553",24
Cursed,-2020,"
Adventure, Drama, Fantasy            ",5.9,"25,954",60
Lone Survivor,-2013,"
Action, Biography, Drama            ",7.5,"273,061",121
"Extremely Wicked, Shockingly Evil and Vile",-2019,"
Biography, Crime, Drama            ",6.7,"84,387",110
Henry Danger,(2014â€“2020),"
Action, Comedy, Family            ",5.7,"3,933",30
Under the Dome,(2013â€“2015),"
Drama, Mystery, Sci-Fi            ",6.6,"102,725",43
The Founder,-2016,"
Biography, Drama            ",7.2,"134,759",115
Mononoke-hime,-1997,"
Animation, Action, Adventure            ",8.4,"359,473",134
Space Force,(2020â€“ ),"
Comedy            ",6.7,"49,116",30
Timeless,(2016â€“2018),"
Action, Adventure, Drama            ",7.7,"38,791",60
Seutateueob,(2020â€“ ),"
Comedy, Drama, Romance            ",8.1,"5,778",80
La catedral del mar,-2018,"
Drama, History            ",7.5,"3,574",55
Beckett,-2021,"
Action, Crime, Drama            ",,,108
Triple Frontier,-2019,"
Action, Adventure, Crime            ",6.4,"115,059",125
Fondeados,-2021,"
Comedy            ",4.2,161,97
Sweet Home,(2020â€“ ),"
Drama, Fantasy, Horror            ",7.4,"12,428",52
101 Dalmatians,-1996,"
Adventure, Comedy, Crime            ",5.7,"106,580",103
Warrior Nun,(2020â€“ ),"
Action, Drama, Fantasy            ",6.9,"24,525",
The Irregulars,-2021,"
Crime, Drama, Fantasy            ",5.9,"12,624",
Party of Five,(1994â€“2000),"
Drama, Family            ",6.8,"9,709",60
Lilyhammer,(2012â€“2014),"
Comedy, Crime, Drama            ",8,"27,587",45
Frontier,(2016â€“2018),"
Adventure, Drama, History            ",7.2,"18,202",60
El Cartel de los Sapos - El Origen,(2021â€“ ),"
Crime, Drama            ",5.5,26,
Rampage,-2018,"
Action, Adventure, Sci-Fi            ",6.1,"151,688",107
The Croods,-2013,"
Animation, Adventure, Comedy            ",7.2,"200,206",98
Safe,-2018,"
Crime, Drama, Mystery            ",7.3,"34,984",356
The Firm,-1993,"
Drama, Mystery, Thriller            ",6.8,"124,972",154
Fauda,(2015â€“ ),"
Action, Drama, Thriller            ",8.2,"21,689",60
The Clovehitch Killer,-2018,"
Crime, Drama, Mystery            ",6.6,"21,572",109
Serebryanye konki,-2020,"
Adventure, Drama, Family            ",7.1,"3,082",130
The Last Dance,-2020,"
Documentary, Biography, History            ",9.1,"93,041",491
Death Wish,-2018,"
Action, Crime, Drama            ",6.3,"68,094",107
We Can Be Heroes,(II) (2020),"
Action, Comedy, Drama            ",4.7,"12,202",100
The Blues Brothers,-1980,"
Action, Adventure, Comedy            ",7.9,"188,459",133
The Highwaymen,-2019,"
Biography, Crime, Drama            ",6.9,"81,703",132
Unknown,(I) (2011),"
Action, Mystery, Thriller            ",6.8,"253,999",113
Father of the Bride Part 3 (ish),-2020,"
Short, Family            ",7,669,26
Somos.,-2021,"
Crime, Drama, History            ",7.2,726,55
Hunt for the Wilderpeople,-2016,"
Adventure, Comedy, Drama            ",7.9,"118,166",101
Eliza Graves,-2014,"
Drama, Horror, Thriller            ",6.8,"53,438",112
Shin seiki evangerion,(1995â€“1996),"
Animation, Action, Drama            ",8.5,"55,618",24
Monty Python and the Holy Grail,-1975,"
Adventure, Comedy, Fantasy            ",8.2,"513,289",91
Unorthodox,-2020,"
Drama            ",8,"65,121",53
What Happened to Monday,-2017,"
Action, Crime, Fantasy            ",6.9,"112,557",123
The Society,-2019,"
Drama, Mystery, Sci-Fi            ",7.1,"23,081",58
12 Monkeys,(2015â€“2018),"
Adventure, Drama, Mystery            ",7.7,"42,021",42
Dirk Gently's Holistic Detective Agency,(2016â€“2017),"
Action, Adventure, Comedy            ",8.2,"45,519",60
The Best of Enemies,-2019,"
Biography, Drama, History            ",7.2,"13,196",133
Sword Art Online,(2012â€“ ),"
Animation, Action, Adventure            ",7.6,"39,325",24
His House,-2020,"
Drama, Horror, Thriller            ",6.5,"32,061",93
Troy: Fall of a City,(2018â€“ ),"
Action, Adventure, Fantasy            ",3.8,"12,889",60
Impractical Jokers,(2011â€“ ),"
Comedy, Reality-TV            ",8.5,"35,544",30
Unbreakable Kimmy Schmidt,(2015â€“2019),"
Comedy            ",7.6,"65,718",30
The Harder They Fall,-2021,"
Drama, Western            ",,,
Atomic Blonde,-2017,"
Action, Thriller            ",6.7,"182,505",115
Rango,-2011,"
Animation, Adventure, Comedy            ",7.2,"245,778",107
The Defenders,-2017,"
Action, Adventure, Crime            ",7.3,"94,589",50
The Lucky One,-2012,"
Drama, Mystery, Romance            ",6.5,"103,765",101
